"MunicipalityName","FIPS_ID","Year","Population"
"Lochbuie",45530,1981,902
"Log Lane Village",45695,1981,704
"Longmont",45970,1981,44317
"Louisville",46355,1981,5934
"Loveland",46465,1981,31372
"Lyons",47070,1981,1181
"Manassa",48060,1981,962
"Mancos",48115,1981,935
"Manitou Springs",48445,1981,4513
"Manzanola",48500,1981,453
"Marble",48555,1981,33
"Mead",49600,1981,359
"Meeker",49875,1981,2551
"Merino",50040,1981,255
"Milliken",50480,1981,1536
"Minturn",50920,1981,996
"Moffat",51250,1981,104
"Monte Vista",51635,1981,4050
"Montezuma",51690,1981,23
"Montrose",51745,1981,8998
"Monument",51800,1981,732
"Morrison",52075,1981,491
"Mount Crested Butte",52570,1981,278
"Mountain View",52350,1981,600
"Naturita",53120,1981,811
"Nederland",53175,1981,1265
"New Castle",53395,1981,588
"Northglenn",54330,1981,29827
"Norwood",54880,1981,468
"Nucla",54935,1981,1021
"Nunn",55045,1981,292
"Oak Creek",55155,1981,876
"Olathe",55540,1981,1284
"Olney Springs",55705,1981,248
"Ophir",55870,1981,41
"Orchard City",55980,1981,2056
"Ordway",56145,1981,1049
"Otis",56365,1981,514
"Ouray",56420,1981,707
"Ovid",56475,1981,438
"Pagosa Springs",56860,1981,1477
"Palisade",56970,1981,1633
"Palmer Lake",57025,1981,1163
"Paoli",57245,1981,73
"Paonia",57300,1981,1530
"Parachute",57400,1981,606
"Parker",57630,1981,317
"Peetz",58235,1981,209
"Pierce",59005,1981,886
"Pitkin",59830,1981,56
"Platteville",60160,1981,1652
"Poncha Springs",60600,1981,325
"Pritchett",61315,1981,178
"Pueblo",62000,1981,100634
"Ramah",62660,1981,124
"Rangely",62880,1981,2375
"Raymer",63045,1981,83
"Red Cliff",63265,1981,372
"Rico",64090,1981,82
"Ridgway",64200,1981,398
"Rifle",64255,1981,3943
"Rockvale",64970,1981,345
"Rocky Ford",65190,1981,4789
"Romeo",65740,1981,303
"Rye",66895,1981,220
"Saguache",67005,1981,658
"Salida",67280,1981,5013
"San Luis",68105,1981,836
"Sanford",67830,1981,696
"Sawpit",68655,1981,40
"Sedgwick",68930,1981,242
"Seibert",69040,1981,185
"Severance",69150,1981,106
"Sheridan",69645,1981,5398
"Sheridan Lake",69700,1981,92
"Silt",70195,1981,998
"Silver Cliff",70250,1981,288
"Silver Plume",70360,1981,144
"Silverthorne",70525,1981,1028
"Silverton",70580,1981,937
"Simla",70635,1981,499
"Snowmass Village",71755,1981,973
"Springfield",73330,1981,1641
"Starkville",73715,1981,133
"Steamboat Springs",73825,1981,5296
"Sterling",73935,1981,11466
"Stratton",74485,1981,681
"Sugar City",74815,1981,299
"Superior",75640,1981,214
"Swink",75970,1981,673
"Telluride",76795,1981,1031
"Thornton",77290,1981,44215
"Timnath",77510,1981,184
"Trinidad",78610,1981,9779
"Two Buttes",79270,1981,81
"Vail",80040,1981,3587
"Victor",80865,1981,272
"Vilas",81030,1981,116
"Vona",81690,1981,97
"Walden",82130,1981,1041
"Walsenburg",82350,1981,3811
"Walsh",82460,1981,859
"Ward",82735,1981,128
"Wellington",83230,1981,1266
"Westcliffe",83450,1981,314
