OBJECTID,WDID,DITCH_NAME,ACREAGE,COMMENT,SHAPE_Length,SHAPE_Area
276,0300994,Brown Ditches,14.92558682,,1499.29827955671,60401.9629769146
277,0300766,Boyd George Stafford Ditch,107.66014501,,5034.66835659844,435686.889226645
278,0301056,CH Weaver Ditch,26.57656906,,2524.99289363279,107551.987370438
279,0700549,Colorado Agricultural Canal,775.83816424,,32557.0622491027,3139718.22517959
280,0301038,Burnham Emerson,684.46840161,,15565.3497104858,2769956.42788211
281,0301111,Buckeye Ditch,1678.5936928,,13886.3174261925,6793054.841444
282,6400535,South Platte Ditch,5553.83439943,,30946.0092405745,22475660.3841399
283,6400532,Davis Brothers Ditch (Abandoned),2564.10975585,,21076.6042326063,10376625.4972428
284,6400503,South Reservation Ditch,933.54158231,,16181.0559245306,3777923.87111774
285,6400520,Iliff Platte Valley Ditch,7770.6995212,,37919.358728852,31447031.0094065
286,6400524,Low Line Ditch,3078.47320046,,21508.7840052504,12458188.8587121
287,6400525,Henderson-Smith Ditch,427.68319642,,6739.51498072398,1730779.42643194
288,6400515,Upper Harmony Ditch,2580.56749924,,21971.7281744196,10443228.0383199
289,6400531,Schneider Ditch,2585.36929345,,23225.8771346802,10462660.2042567
290,0400522,Hill and Brush Ditch,921.37588466,,19529.1108663695,3728690.85076642
291,6400514,Ramsey Ditch,403.29728157,,9916.28096133795,1632092.76763509
292,6400516,Blair and Powell Ditch,2596.26579586,,22673.8649534166,10506756.8918564
293,0801004,Highline Canal,28091.45249155,,134204.344558541,113682529.561443
294,0801008,City Ditch,6398.73368983,,53528.3936316148,25894859.986764
295,4800505,Link Ditch No. 1,144.89565687,,3611.45992574797,586374.262059053
296,4800507,Timothy Ditch,66.5173452,,3323.82861523525,269187.228623685
297,4800510,Martin Ditch No. 2,244.0433621,,6172.10041199737,987612.413370505
298,4800512,Hills Ditch,186.14609109,,9285.55091818256,753309.507898243
299,4800518,Mansfield & Enlargement Ditch,201.86648226,,9610.75457957363,816927.918889803
300,4800519,Mansfield Ditch,113.51021616,,4584.82095840859,459361.403644882
301,4800565,Grace Creek Ditch?,505.09559335,,8796.35679234528,2044057.49594586
302,4800521,Bliler Boswell Ditch,204.55626361,,7619.77473562953,827813.155458962
303,4800546,Stuart Ditch No. 1,23.24427339,,1603.28690306157,94066.6068778713
304,0500829,Oscar Beckwith,140.91479431,,3622.710168029,570264.239834202
305,0301115,Boxelder Channel Ditch 1,83.9691549,,2487.72150378042,339812.420683963
306,0301191,Canon Canal Ditch,70.30297016,,2642.26685795127,284507.154825675
307,6400502,Liddle Ditch,961.13297923,,10752.0387330038,3889582.71430961
308,0100525,Tetsel Ditch,1318.9922027,,11105.6776423075,5337793.42151081
309,6400528,Sterling Irrigation Company,12900.84308459,,73666.2983502209,52208068.6067266
310,6400522,Bravo Ditch,4038.78322423,,26253.8612468127,16344441.2149702
311,0200836,Patterson Ditch,1563.06102861,,16864.4903258814,6325508.8646485
312,0300934,Greeley #3 Irrigation Company,6414.02000723,,40886.1825969664,25956721.824753
