"MunicipalityName","FIPS_ID","FIPS_ID_Flag","GNIS_ID","GNIS_ID_Flag","DOLA_LG_ID","DOLA_LG_ID_Flag","OWF_ID","OWF_ID_Flag","PWS_ID","PWS_ID_Flag","DWR_WaterDistrict_ID","DWR_WaterDistrict_ID_Flag","County_CSV","NumCounty","IBCC_Basin_CSV","Num_IBCC_Basin","Latitude","Longitude","Lat_Long_Flag","Website","Website_Flag","Comment","Pop2006","Pop2016","Percent_Change"
"Golden",30835,"G",2410611,"G",30035,"G","Golden","G","CO0130040","G",NA,"x","Jefferson",1,"Metro",1,39.740617,-105.211681,NA,"http://www.cityofgolden.net/","G","",17411,20460,17.5
"Greeley",32155,"G",2410654,"G",62022,"G","Greeley","G","CO0162321","G",NA,"x","Weld",1,"South Platte",1,40.414917,-104.770666,NA,"http://www.greeleygov.com/","G","",87656,104557,19.3
"Greenwood Village",33035,"G",2410661,"G",3051,"G","GreenwoodVlg","G","CO0130323","G",NA,"x","Arapahoe",1,"Metro",1,39.615136,-104.913033,NA,"http://www.greenwoodvillage.com/","G","",13292,15699,18.1
"Grover",33310,"G",2412712,"G",62023,"G","Grover","G","CO0162322","G",NA,"x","Weld",1,"South Platte",1,40.869104,-104.225941,NA,"","N","New BNDSS ID; did not have an ID in original BNDSS",139,149,7.2
"Haxtun",34960,"G",2412738,"G",48004,"G","Haxtun","G","CO0148001","G",NA,"x","Phillips",1,"South Platte",1,40.641876,-102.629715,NA,"","N","New BNDSS ID; did not have an ID in original BNDSS",980,959,-2.1
"Hillrose",36610,"G",2412751,"G",44007,"G","Hillrose","G","CO0144010","G",NA,"x","Morgan",1,"South Platte",1,40.324654,-103.522175,NA,"http://www.hillrosecolorado.org/","G","New BNDSS ID; did not have an ID in original BNDSS",265,303,14.3
"Holyoke",37270,"G",2410781,"G",48005,"G","Holyoke","G","CO0148005","G",NA,"x","Phillips",1,"South Platte",1,40.583414,-102.299812,NA,"http://www.cityofholyoke-co.gov/","G","",2307,2181,-5.5
"Hudson",37820,"G",2412776,"G",62029,"G","Hudson","G","CO0162359","G",NA,"x","Weld",1,"South Platte",1,40.089828,-104.621449,NA,"https://hudsoncolorado.org/","G","",1487,1597,7.4
"Idaho Springs",38370,"G",2410092,"G",10008,"G","IdahoSpgs","G","CO0110020","G",NA,"x","Clear Creek",1,"South Platte",1,39.744445,-105.500109,NA,"http://www.idahospringsco.com/","G","",1799,1794,-0.3
"Iliff",38590,"G",2412788,"G",38007,"G","Iliff","G","CO0138015","G",NA,"x","Logan",1,"South Platte",1,40.759083,-103.066182,NA,"","N","New BNDSS ID; did not have an ID in original BNDSS",263,262,-0.4
"Jamestown",39195,"G",2412800,"G",7018,"G","Jamestown","G","CO0107401","G",NA,"x","Boulder",1,"South Platte",1,40.118344,-105.39163,NA,"http://www.jamestownco.org/","G","",283,247,-12.7
"Johnstown",39855,"G",2412807,"G",64266,"G","Johnstown","G","CO0162418","G",NA,"x","Larimer, Weld",2,"South Platte",1,40.349893,-104.948157,NA,"http://www.townofjohnstown.com/","G","New BNDSS ID; did not have an ID in original BNDSS",8292,15459,86.4
"Julesburg",39965,"G",2412812,"G",58004,"G","Julesburg","G","CO0158001","G",NA,"x","Sedgwick",1,"South Platte",1,40.984514,-102.26276,NA,"http://www.townofjulesburg.com/","G","New BNDSS ID; did not have an ID in original BNDSS",1308,1245,-4.8
"Keenesburg",40185,"G",2412820,"G",62033,"G","Keenesburg","G","CO0162438","G",NA,"x","Weld",1,"South Platte",1,40.11158,-104.503505,NA,"https://www.townofkeenesburg.com/","G","",1084,1209,11.5
"Kersey",40515,"G",2412828,"G",62035,"G","Kersey","G","CO0055558","G",NA,"x","Weld",1,"South Platte",1,40.387783,-104.564447,NA,"http://www.townofkersey.com/","G","",1397,1574,12.7
"Kiowa",40790,"G",2412838,"G",20005,"G","Kiowa","G","CO0120015","G",NA,"x","Elbert",1,"South Platte",1,39.343041,-104.455417,NA,"http://www.townofkiowa.com/","G","",677,749,10.6
"La Salle",43605,"G",2412856,"G",62037,"G","LaSalle","G","CO0162466","G",NA,"x","Weld",1,"South Platte",1,40.34848,-104.706165,NA,"http://www.lasalletown.com/","G","New BNDSS ID; did not have an ID in original BNDSS",1859,2150,15.7
"Lafayette",41835,"G",2411592,"G",7020,"G","Lafayette","G","CO0107473","G",NA,"x","Boulder",1,"South Platte",1,39.994674,-105.099662,NA,"https://www.cityoflafayette.com/","G","",23705,28326,19.5
"Lakeside",42495,"G",2412865,"G",30053,"G","Lakeside","G","","M",NA,"x","Jefferson",1,"Metro",1,39.780209,-105.057946,NA,"","N","New BNDSS ID; did not have an ID in original BNDSS",12,8,-33.3
"Lakewood",43000,"G",2411614,"G",30055,"G","Lakewood","G","CO0130467","G",NA,"x","Jefferson",1,"Metro",1,39.697801,-105.116772,NA,"http://www.ci.lakewood.co.us/","G","",141378,155072,9.7
"Larkspur",43550,"G",2412878,"G",18021,"G","Larkspur","G","CO0118030","G",NA,"x","Douglas",1,"Metro",1,39.231615,-104.892412,NA,"http://www.townoflarkspur.org/","G","New BNDSS ID; did not have an ID in original BNDSS",188,206,9.6
"Littleton",45255,"G",2410845,"G",64085,"G","Littleton","G","CO0103476","G",NA,"x","Arapahoe, Douglas, Jefferson",3,"Metro",1,39.591525,-105.018772,NA,"http://www.littletongov.org/","G","",40475,46992,16.1
"Lochbuie",45530,"G",2412905,"G",62038,"G","Lochbuie","G","CO0162486","G",NA,"x","Adams, Weld",2,"Metro, South Platte",2,40.011701,-104.727105,NA,"http://www.lochbuie.org/","G","",3794,5619,48.1
